0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
add,its,yet,jew,sky,jae,nah,hat,max,odd,pin,mix,fry,las,ten,top,any,try,men,liz
oak,bid,cry,han,fog,pal,unh,jim,ali,mia,toy,fox,pat,mad,nap,flu,mac,pee,sit,tip
rig,san,low,ian,hop,gay,roy,law,ago,tea,fbi,ned,war,aww,age,jam,sat,kay,had,hee
wee,erm,fix,ugh,bud,ben,out,won,toe,via,bob,hey,eva,big,sis,run,lou,raw,aye,shy
min,sec,aim,yun,off,gil,til,jet,yep,ram,soo,fan,art,aii,get,bum,tap,rob,old,wes
woo,tag,dee,joo,meg,lay,leg,may,ohh,hip,ass,amy,mum,bit,sin,act,con,bug,tie,cia
owe,die,map,fly,joy,tan,eli,sum,fun,hye,buy,eve,set,los,ron,vic,pig,now,cab,eat
tin,day,red,ken,tax,pan,let,lip,fat,air,ink,bai,pro,sub,shh,gig,ann,gun,ray,pen
pad,can,rod,you,ava,hot,ran,kim,put,per,ooh,dig,egg,has,arm,jon,sam,mel,rat,jar
joe,gap,doc,sea,ham,nut,sir,was,sad,dan,don,bin,cos,cha,end,ice,job,mom,pie,bus
den,cup,mmm,and,pop,tub,tae,did,lex,bar,wei,one,are,rex,yes,cut,kai,pot,jin,rap
sex,pet,wha,pit,hon,bat,bet,aah,mob,dot,axe,von,got,aha,uhh,led,inn,few,sid,chi
lap,bow,web,beg,not,ace,gps,ash,bey,bad,lot,gee,rip,dog,son,hut,yup,ear,sue,pay
gin,met,too,cue,ana,pub,zoo,how,zoe,cop,huh,who,lie,tim,but,yan,log,his,cat,spy
sun,cho,far,lin,hug,gas,yoo,gum,mud,gut,jay,rid,due,bro,mrs,raj,val,shi,saw,seo
doo,way,jan,sal,hmm,kid,fee,fit,hoo,ted,dad,lad,aid,bam,her,fur,the,ceo,wow,heh
yay,ego,bay,kit,boo,nam,gon,dug,god,leo,ask,tom,cap,oil,mei,dna,cow,ton,for,eye
car,thy,pam,lab,liu,bed,rub,owl,van,cal,two,fed,ahh,boy,lit,ate,all,key,use,hid
six,guy,box,why,wet,yen,del,eun,say,bye,jun,cam,ill,net,him,hal,bee,bag,rot,own
gus,our,row,new,dip,dry,she,qin,hit,ivy,win,nor,app,man,jen,see,gym,era,gal,lee
