trial,condition,presented_words,recalled_words
1,normal,"['mask', 'wife', 'land', 'pipe', 'face', 'chin', 'belt', 'bush', 'boot', 'rock', 'loaf', 'dock', 'folk', 'wrap', 'game']","['mask', 'wife', 'land', 'pipe', 'game', 'dog', 'man', 'pibe']"
2,normal,"['path', 'dude', 'flag', 'bean', 'loaf', 'sock', 'lark', 'brat', 'dust', 'snow', 'pipe', 'hero', 'head', 'goat', 'bowl']","['path', 'bean', 'goat', 'head', 'life', 'boat', 'land', 'wife', 'hand', 'man']"
3,normal,"['crab', 'mama', 'hair', 'tree', 'rock', 'peak', 'lamp', 'town', 'wave', 'crow', 'head', 'drum', 'hero', 'wife', 'flag']","['crab', 'wife', 'drum', 'flag', 'mama', 'leaf', 'boat', 'hat']"
4,normal,"['road', 'face', 'lock', 'dude', 'roof', 'peak', 'door', 'farm', 'bear', 'tent', 'seal', 'ball', 'head', 'park', 'sock']","['farm', 'bear', 'sent', 'sock', 'tent', 'seal', 'mama', 'wife', 'boat', 'bean']"
5,normal,"['beef', 'seat', 'rain', 'peer', 'soup', 'park', 'hill', 'taco', 'gnat', 'cake', 'lord', 'frog', 'coin', 'nail', 'soil']","['beef', 'seat', 'rain', 'nail', 'coin', 'beer', 'cake', 'snail', 'taco']"
6,fast,"['film', 'belt', 'rope', 'bull', 'pals', 'baby', 'meat', 'moon', 'star', 'goat', 'wrap', 'crew', 'papa', 'mule', 'bear']","['film', 'papa', 'crew', 'bear', 'movie', 'belt', 'baby']"
7,fast,"['pear', 'nail', 'mole', 'drum', 'beer', 'bowl', 'gnat', 'foot', 'lips', 'wrap', 'vest', 'calf', 'crab', 'note', 'lady']","['pear', 'nail', 'crab', 'mole', 'note', 'lady', 'bear']"
8,fast,"['farm', 'tide', 'crew', 'folk', 'chin', 'tent', 'taco', 'rock', 'fire', 'snow', 'lamp', 'peak', 'game', 'bell', 'plum']","['farm', 'tace', 'crew', 'game', 'peak', 'mole', 'taco']"
9,fast,"['foot', 'head', 'papa', 'bike', 'belt', 'toad', 'fork', 'fire', 'folk', 'wine', 'city', 'goat', 'dune', 'hand', 'wolf']","['foot', 'food', 'head', 'papa', 'bike', 'fire', 'wine']"
10,fast,"['fish', 'chef', 'pear', 'corn', 'rope', 'snow', 'mole', 'kite', 'lion', 'milk', 'skin', 'king', 'crow', 'film', 'game']","['fish', 'snow', 'peark', 'pear', 'king', 'mole']"
11,math,"['pals', 'card', 'lark', 'hero', 'brat', 'cola', 'foot', 'nail', 'head', 'maid', 'lake', 'baby', 'pond', 'cave', 'yard']","['card', 'lard', 'yard', 'lake', 'head', 'woman', 'bike']"
12,math,"['soil', 'pita', 'wire', 'clam', 'head', 'chin', 'skin', 'rice', 'hill', 'pals', 'wave', 'lips', 'hero', 'lord', 'sofa']","['spin', 'chin', 'piza', 'lord', 'clam', 'pita']"
13,math,"['shop', 'baby', 'sock', 'rock', 'bear', 'salt', 'nerd', 'crew', 'lamb', 'hill', 'tree', 'soda', 'king', 'park', 'dust']","['sock', 'rock', 'soda', 'soil', 'pita', 'king', 'clam']"
14,math,"['rock', 'peer', 'kite', 'bear', 'guru', 'corn', 'town', 'bean', 'ball', 'carp', 'lion', 'worm', 'roof', 'face', 'lips']","['rock', 'sock', 'pizza', 'lips', 'face', 'soil', 'king']"
15,math,"['mine', 'clam', 'nerd', 'deer', 'flag', 'barn', 'tree', 'tide', 'soup', 'mall', 'baby', 'duck', 'goat', 'cake', 'salt']","['mine', 'deer', 'salt', 'duck', 'soup', 'cake', 'rock', 'baby']"
16,break,"['rock', 'head', 'clip', 'shop', 'rain', 'peak', 'girl', 'vest', 'cake', 'mama', 'cart', 'taco', 'boar', 'drum', 'belt']","['rock', 'girl', 'head', 'clip', 'rain', 'taco', 'mama', 'pea', 'pear']"
17,break,"['seat', 'soda', 'mole', 'twin', 'hand', 'flag', 'face', 'mate', 'mine', 'chin', 'door', 'rock', 'belt', 'chip', 'peak']","['mine', 'twin', 'soda', 'chip', 'seat', 'hand', 'peak']"
18,break,"['town', 'baby', 'peer', 'king', 'plum', 'duck', 'tool', 'cola', 'mask', 'crow', 'sand', 'girl', 'pita', 'lark', 'mine']","['king', 'duck', 'cola', 'mine', 'crown', 'baby', 'crow', 'town']"
19,break,"['plum', 'cart', 'goat', 'seat', 'barn', 'lock', 'wire', 'boar', 'rain', 'coin', 'wife', 'wrap', 'crab', 'shed', 'mask']","['goat', 'coin', 'wife', 'cart', 'shed', 'break', 'deer', 'hand', 'town', 'break']"
20,break,"['bean', 'wolf', 'wrap', 'yard', 'lock', 'nose', 'beer', 'boot', 'bowl', 'film', 'mule', 'flag', 'fern', 'book', 'roof']","['flag', 'mule', 'book', 'roof', 'bean', 'wrap']"
21,normal,"['port', 'soup', 'dust', 'worm', 'gulf', 'frog', 'nail', 'twin', 'mule', 'baby', 'plum', 'peer', 'hawk', 'lock', 'snow']","['port', 'lock', 'soup']"
22,normal,"['goat', 'deer', 'farm', 'snow', 'taco', 'bowl', 'rope', 'loaf', 'pond', 'crow', 'cave', 'shed', 'tuna', 'door', 'girl']","['deer', 'goat', 'farm', 'taco', 'bowl', 'shed', 'girl', 'tuna', 'cave']"
23,normal,"['cola', 'tree', 'nerd', 'lion', 'moon', 'fern', 'road', 'belt', 'gnat', 'door', 'toad', 'land', 'mate', 'ball', 'seal']","['seal', 'nerd', 'tree', 'cola', 'lion', 'seal', 'door', 'land', 'road']"
24,normal,"['note', 'beef', 'twin', 'mist', 'cola', 'city', 'skin', 'boar', 'face', 'roof', 'wall', 'rain', 'wave', 'bowl', 'land']","['land', 'bowl', 'twin', 'cola', 'notes', 'note', 'mist', 'rain', 'roof', 'wall', 'land']"
25,normal,"['boss', 'soda', 'town', 'lark', 'hand', 'seat', 'diva', 'shop', 'desk', 'wave', 'neck', 'tool', 'crab', 'plum', 'fish']","['crab', 'fish', 'plum', 'boss', 'desk', 'seat', 'soda', 'diva', 'shop', 'hand', 'tool', 'lark']"
26,normal,"['bowl', 'foot', 'sofa', 'clip', 'moon', 'crab', 'fire', 'desk', 'twin', 'hand', 'farm', 'door', 'drum', 'frog', 'town']","['town', 'frog', 'drum', 'desk', 'sofa', 'feet', 'bowl', 'clip', 'moon', 'fire', 'crab', 'door']"
27,normal,"['calf', 'fern', 'lark', 'pipe', 'maid', 'dune', 'toad', 'skin', 'milk', 'hill', 'belt', 'path', 'reef', 'vest', 'goat']","['vest', 'goat', 'calf', 'lark', 'pipe', 'maid', 'skin', 'milk', 'belt', 'path', 'road']"
28,normal,"['papa', 'soup', 'goat', 'film', 'shop', 'bull', 'bean', 'roof', 'lion', 'seat', 'carp', 'pond', 'boot', 'wave', 'swan']","['wave', 'swan', 'papa', 'soup', 'bull', 'bean', 'roof', 'boot']"
29,normal,"['seat', 'game', 'star', 'folk', 'fork', 'hill', 'bean', 'card', 'tide', 'crew', 'rain', 'film', 'dust', 'isle', 'belt']","['belt', 'isle', 'dust', 'seat', 'game', 'fork', 'bean', 'folk', 'crew', 'isle', 'tide', 'rain']"
