trial, condition, presented_words, recalled_words
0,normal,"['port', 'soup', 'dust', 'worm', 'gulf', 'frog', 'nail', 'twin', 'mule', 'baby', 'plum', 'peer', 'hawk', 'lock', 'snow']","['port', 'lock', 'soup']"
1,normal,"['goat', 'deer', 'farm', 'snow', 'taco', 'bowl', 'rope', 'loaf', 'pond', 'crow', 'cave', 'shed', 'tuna', 'door', 'girl']","['deer', 'goat', 'farm', 'taco', 'bowl', 'shed', 'girl', 'tuna', 'cave']"
2,normal,"['cola', 'tree', 'nerd', 'lion', 'moon', 'fern', 'road', 'belt', 'gnat', 'door', 'toad', 'land', 'mate', 'ball', 'seal']","['seal', 'nerd', 'tree', 'cola', 'lion', 'seal', 'door', 'land', 'road']"
3,normal,"['note', 'beef', 'twin', 'mist', 'cola', 'city', 'skin', 'boar', 'face', 'roof', 'wall', 'rain', 'wave', 'bowl', 'land']","['land', 'bowl', 'twin', 'cola', 'notes', 'note', 'mist', 'rain', 'roof', 'wall', 'land']"
4,normal,"['boss', 'soda', 'town', 'lark', 'hand', 'seat', 'diva', 'shop', 'desk', 'wave', 'neck', 'tool', 'crab', 'plum', 'fish']","['crab', 'fish', 'plum', 'boss', 'desk', 'seat', 'soda', 'diva', 'shop', 'hand', 'tool', 'lark']"
5,normal,"['bowl', 'foot', 'sofa', 'clip', 'moon', 'crab', 'fire', 'desk', 'twin', 'hand', 'farm', 'door', 'drum', 'frog', 'town']","['town', 'frog', 'drum', 'desk', 'sofa', 'feet', 'bowl', 'clip', 'moon', 'fire', 'crab', 'door']"
6,normal,"['calf', 'fern', 'lark', 'pipe', 'maid', 'dune', 'toad', 'skin', 'milk', 'hill', 'belt', 'path', 'reef', 'vest', 'goat']","['vest', 'goat', 'calf', 'lark', 'pipe', 'maid', 'skin', 'milk', 'belt', 'path', 'road']"
7,normal,"['papa', 'soup', 'goat', 'film', 'shop', 'bull', 'bean', 'roof', 'lion', 'seat', 'carp', 'pond', 'boot', 'wave', 'swan']","['wave', 'swan', 'papa', 'soup', 'bull', 'bean', 'roof', 'boot']"
8,normal,"['seat', 'game', 'star', 'folk', 'fork', 'hill', 'bean', 'card', 'tide', 'crew', 'rain', 'film', 'dust', 'isle', 'belt']","['belt', 'isle', 'dust', 'seat', 'game', 'fork', 'bean', 'folk', 'crew', 'isle', 'tide', 'rain']"
9,normal,"['clan', 'rope', 'ring', 'tree', 'swan', 'hero', 'snow', 'twin', 'farm', 'film', 'town', 'reef', 'mall', 'rock', 'girl']","['rock', 'girl', 'farm', 'swan', 'hero', 'rope', 'clan', 'rope', 'white']"
10,normal,"['chin', 'dune', 'bean', 'moon', 'sofa', 'bowl', 'wrap', 'deer', 'yard', 'mole', 'chef', 'boot', 'lamb', 'card', 'salt']","['salt', 'bean', 'chef', 'salt', 'card', 'mole', 'goat']"
11,normal,"['hill', 'yard', 'lake', 'nail', 'king', 'road', 'crab', 'beer', 'gnat', 'rain', 'hare', 'lord', 'sand', 'lips', 'fern']","['fern', 'lips', 'hill', 'king', 'rain', 'fern', 'yard', 'lord']"
12,normal,"['guru', 'fire', 'mask', 'game', 'papa', 'road', 'lady', 'sofa', 'park', 'door', 'lake', 'barn', 'wave', 'tent', 'nerd']","['nerd', 'telt', 'guru', 'fire', 'road', 'mask', 'lady', 'sofa', 'park', 'door', 'lake']"
13,normal,"['skin', 'bike', 'cart', 'pita', 'shoe', 'lamb', 'bear', 'boar', 'lady', 'wall', 'team', 'pipe', 'mole', 'folk', 'frog']","['boar', 'beer', 'frog', 'mole', 'wall', 'lady', 'cart', 'skin', 'pita', 'shoe', 'road']"
14,normal,"['folk', 'park', 'boss', 'dove', 'lake', 'gnat', 'nose', 'worm', 'desk', 'wolf', 'kite', 'toad', 'gulf', 'mama', 'wind']","['wind', 'mama', 'park', 'folk', 'nose', 'worm', 'lake', 'wolf', 'desk', 'duck', 'dove']"
15,normal,"['meat', 'cake', 'dune', 'cola', 'loaf', 'wine', 'fern', 'tree', 'bear', 'mole', 'crow', 'hero', 'mask', 'coin', 'card']","['card', 'coin', 'hero', 'bear', 'crow', 'mole', 'mask', 'wine', 'cake', 'meat']"
16,normal,"['nose', 'farm', 'dust', 'belt', 'girl', 'loaf', 'tool', 'beer', 'maid', 'hare', 'path', 'yard', 'snow', 'dove', 'cart']","['cart', 'dove', 'farm', 'belt', 'loaf', 'nose', 'maid', 'girl', 'dust', 'snow']"
17,normal,"['wire', 'pipe', 'fire', 'dove', 'tent', 'soda', 'nail', 'shed', 'rice', 'pear', 'note', 'soil', 'game', 'belt', 'clan']","['clan', 'belt', 'fire', 'wire', 'dove', 'tent', 'game']"
18,normal,"['note', 'clam', 'vest', 'baby', 'meat', 'dove', 'belt', 'folk', 'crab', 'cake', 'stew', 'toad', 'yard', 'hill', 'rock']","['rock', 'baby', 'belt', 'yard', 'note', 'belt', 'crab', 'dove', 'meat']"
