trial, condition, presented_words, recalled_words
0,normal,"['S', 'D', 'K', 'E', 'A', 'H', 'P']","['S', 'D', 'K', 'E', 'A', 'H', 'P']"
1,normal,"['N', 'A', 'Y', 'O', 'E', 'B', 'V']","['N', 'A', 'Y', 'O', 'E', 'V', 'B']"
2,normal,"['T', 'B', 'G', 'V', 'Q', 'N', 'X']","['T', 'B', 'G', 'V', 'N', 'Q', 'X']"
3,normal,"['D', 'C', 'T', 'E', 'Z', 'U', 'W']","['D', 'C', 'T', 'E', 'Z', 'U', 'W']"
4,normal,"['E', 'Z', 'Y', 'H', 'Q', 'V', 'C']","['E', 'Z', 'Y', 'H', 'V', 'Q', 'C']"
5,normal,"['A', 'I', 'L', 'T', 'Q', 'V', 'Z']","['A', 'I', 'L', 'T', 'Q', 'V']"
6,normal,"['P', 'Y', 'G', 'Z', 'U', 'O', 'K']","['P', 'Y', 'G', 'Z', 'U', 'K', 'O']"
7,normal,"['C', 'E', 'T', 'F', 'X', 'M', 'U']","['C', 'E', 'T', 'F', 'X', 'M']"
8,normal,"['R', 'K', 'Z', 'W', 'C', 'V', 'Y']","['R', 'K', 'Z', 'W', 'C', 'V', 'Y']"
9,normal,"['J', 'V', 'D', 'L', 'H', 'F', 'P']","['J', 'V', 'D', 'H', 'L', 'F', 'P']"
10,normal,"['U', 'J', 'K', 'Y', 'B', 'W', 'V']","['U', 'J', 'K', 'Y', 'B', 'W']"
11,normal,"['X', 'N', 'L', 'E', 'R', 'Y', 'S']","['X', 'N', 'L', 'E', 'R', 'Y']"
12,normal,"['R', 'L', 'O', 'X', 'A', 'V', 'F']","['R', 'L', 'O', 'A', 'V', 'F']"
13,normal,"['B', 'H', 'P', 'D', 'J', 'V', 'N']","['B', 'H', 'P', 'J', 'V', 'N']"
14,normal,"['M', 'I', 'S', 'Z', 'U', 'Y', 'R']","['M', 'I', 'S', 'U', 'Y', 'R']"
15,normal,"['D', 'Q', 'K', 'P', 'O', 'Y', 'B']","['D', 'Q', 'K', 'P', 'Y', 'B']"
16,normal,"['F', 'C', 'S', 'D', 'M', 'O', 'B']","['F', 'C', 'S', 'M', 'O', 'B']"
17,normal,"['O', 'K', 'M', 'A', 'W', 'J', 'Y']","['O', 'K', 'M', 'A', 'W', 'Y']"
18,normal,"['K', 'S', 'Z', 'I', 'G', 'E', 'N']","['K', 'S', 'Z', 'I', 'E', 'N']"
19,normal,"['G', 'M', 'V', 'D', 'O', 'F', 'P']","['G', 'M', 'V', 'O', 'F', 'P']"
20,tapping,"['Z', 'K', 'F', 'R', 'U', 'H', 'V']","['Z', 'K', 'F', 'R', 'U', 'H', 'V']"
21,tapping,"['P', 'N', 'D', 'L', 'K', 'E', 'I']","['P', 'N', 'D', 'L', 'K', 'E', 'I']"
22,tapping,"['F', 'T', 'C', 'I', 'N', 'E', 'O']","['F', 'T', 'C', 'I', 'N', 'E', 'O']"
23,tapping,"['Q', 'V', 'L', 'U', 'D', 'T', 'W']","['Q', 'V', 'L', 'U', 'D', 'T', 'W']"
24,tapping,"['I', 'X', 'E', 'O', 'P', 'T', 'U']","['I', 'X', 'E', 'O', 'P', 'T', 'U']"
25,tapping,"['C', 'F', 'T', 'V', 'U', 'O', 'W']","['C', 'F', 'T', 'V', 'U', 'O', 'W']"
26,tapping,"['X', 'J', 'D', 'S', 'R', 'H', 'A']","['X', 'J', 'D', 'R', 'S', 'H', 'A']"
27,tapping,"['O', 'S', 'T', 'H', 'I', 'K', 'Y']","['O', 'S', 'T', 'H', 'I', 'K', 'Y']"
28,tapping,"['P', 'D', 'A', 'W', 'J', 'M', 'V']","['P', 'D', 'A', 'W', 'J', 'M', 'V']"
29,tapping,"['E', 'A', 'I', 'X', 'T', 'C', 'Y']","['E', 'A', 'I', 'X', 'T', 'C', 'Y']"
30,tapping,"['I', 'N', 'H', 'M', 'E', 'S', 'V']","['I', 'N', 'H', 'M', 'E', 'S', 'V']"
31,tapping,"['O', 'A', 'H', 'I', 'T', 'L', 'S']","['O', 'A', 'H', 'I', 'T', 'L', 'S']"
32,tapping,"['X', 'I', 'T', 'Z', 'S', 'O', 'B']","['X', 'I', 'T', 'Z', 'S', 'O', 'B']"
33,tapping,"['U', 'W', 'F', 'R', 'V', 'P', 'O']","['U', 'W', 'F', 'R', 'V', 'P', 'O']"
34,tapping,"['V', 'C', 'N', 'B', 'E', 'Q', 'M']","['V', 'C', 'N', 'B', 'E', 'Q', 'M']"
35,tapping,"['U', 'Z', 'Q', 'D', 'T', 'S', 'N']","['U', 'Z', 'Q', 'D', 'T', 'N', 'S']"
36,tapping,"['W', 'Y', 'V', 'O', 'D', 'C', 'X']","['W', 'Y', 'V', 'O', 'D', 'C', 'X']"
37,tapping,"['S', 'U', 'W', 'T', 'Y', 'M', 'G']","['S', 'U', 'W', 'T', 'Y', 'M', 'G']"
38,tapping,"['P', 'A', 'B', 'E', 'C', 'S', 'Z']","['P', 'A', 'B', 'E', 'C', 'S', 'Z']"
39,tapping,"['X', 'E', 'L', 'N', 'B', 'T', 'K']","['X', 'E', 'L', 'N', 'B', 'T', 'K']"
40,suppression,"['H', 'C', 'K', 'F', 'N', 'U', 'P']","['H', 'K', 'F', 'N', 'U', 'P']"
41,suppression,"['M', 'Q', 'J', 'P', 'R', 'C', 'S']","['M', 'Q', 'J', 'P', 'R', 'S']"
42,suppression,"['R', 'L', 'A', 'V', 'Z', 'X', 'Y']","['R', 'L', 'A', 'V', 'Z', 'Y']"
43,suppression,"['R', 'H', 'W', 'T', 'J', 'O', 'Q']","['R', 'H', 'W', 'T', 'O', 'Q']"
44,suppression,"['W', 'J', 'C', 'R', 'N', 'P', 'F']","['W', 'J', 'C', 'R', 'P', 'F']"
45,suppression,"['W', 'I', 'E', 'T', 'J', 'G', 'O']","['W', 'I', 'E', 'T', 'G', 'O']"
46,suppression,"['H', 'Q', 'A', 'D', 'V', 'C', 'S']","['H', 'Q', 'A', 'D', 'C', 'S']"
47,suppression,"['A', 'G', 'M', 'V', 'R', 'X', 'S']","['A', 'G', 'M', 'R', 'X', 'S']"
48,suppression,"['R', 'S', 'A', 'C', 'U', 'Z', 'O']","['R', 'S', 'A', 'U', 'Z', 'O']"
49,suppression,"['P', 'J', 'C', 'M', 'X', 'K', 'G']","['P', 'J', 'C', 'M', 'K', 'G']"
50,suppression,"['Q', 'K', 'T', 'F', 'Y', 'V', 'U']","['Q', 'K', 'T', 'F', 'V', 'U']"
51,suppression,"['W', 'G', 'M', 'L', 'K', 'A', 'X']","['W', 'G', 'M', 'L', 'A', 'X']"
52,suppression,"['S', 'I', 'W', 'O', 'M', 'E', 'D']","['S', 'I', 'W', 'O', 'M', 'D']"
53,suppression,"['Y', 'P', 'W', 'G', 'E', 'R', 'Q']","['Y', 'P', 'W', 'G', 'E', 'Q']"
54,suppression,"['R', 'B', 'S', 'Q', 'E', 'C', 'D']","['R', 'B', 'S', 'Q', 'C', 'D']"
55,suppression,"['I', 'K', 'A', 'W', 'L', 'Q', 'D']","['I', 'K', 'A', 'W', 'Q', 'D']"
56,suppression,"['X', 'R', 'Z', 'W', 'V', 'K', 'B']","['X', 'R', 'Z', 'W', 'K', 'B']"
57,suppression,"['O', 'P', 'X', 'G', 'Q', 'W', 'N']","['O', 'P', 'X', 'G', 'W', 'N']"
58,suppression,"['U', 'E', 'N', 'R', 'I', 'Z', 'S']","['U', 'E', 'N', 'R', 'Z', 'S']"
59,suppression,"['F', 'S', 'A', 'C', 'U', 'K', 'O']","['F', 'S', 'A', 'C', 'U', 'K', 'O']"
60,chunking,"['G', 'G', 'S', 'R', 'Y', 'D', 'N']","['G', 'G', 'S', 'R', 'Y', 'D', 'N']"
61,chunking,"['N', 'P', 'C', 'S', 'E', 'D', 'V']","['N', 'P', 'C', 'S', 'E', 'D', 'V']"
62,chunking,"['C', 'A', 'D', 'V', 'D', '4', 'K']","['C', 'A', 'D', 'V', 'D', '4', 'K']"
63,chunking,"['D', 'K', 'T', 'Y', 'D', 'I', 'Y']","['D', 'K', 'T', 'Y', 'D', 'Y']"
64,chunking,"['J', 'P', 'G', 'H', 'A', 'C', 'K']","['J', 'P', 'G', 'H', 'A', 'C', 'K']"
65,chunking,"['N', 'G', 'L', 'M', 'R', '4', 'K']","['N', 'G', 'L', 'M', 'R', '4', 'K']"
66,chunking,"['G', 'L', 'G', 'I', 'F', 'P', 'N']","['G', 'L', 'G', 'F', 'P', 'N']"
67,chunking,"['I', 'R', 'L', 'P', 'W', 'N', 'T']","['I', 'R', 'L', 'P', 'W', 'N', 'T']"
68,chunking,"['O', 'M', 'G', 'P', 'D', 'F', 'A']","['O', 'M', 'G', 'P', 'D', 'F', 'A']"
69,chunking,"['U', 'K', '4', 'K', 'C', 'A', 'E']","['U', 'K', '4', 'K', 'C', 'E']"
70,chunking,"['O', 'P', 'B', 'E', 'T', 'A', 'G']","['O', 'P', 'B', 'E', 'T', 'A', 'G']"
71,chunking,"['T', 'L', 'D', 'R', 'O', 'P', 'M']","['T', 'L', 'D', 'R', 'O', 'P', 'M']"
72,chunking,"['4', 'K', 'D', 'V', 'D', 'N', 'G']","['4', 'K', 'D', 'V', 'N', 'G']"
73,chunking,"['F', 'R', 'G', 'G', 'U', 'K', 'T']","['F', 'R', 'G', 'G', 'U', 'K', 'T']"
74,chunking,"['Y', 'O', 'F', 'O', 'M', 'O', 'D']","['Y', 'O', 'F', 'O', 'M', 'O', 'D']"
75,chunking,"['M', 'C', 'A', 'V', 'I', 'T', 'R']","['M', 'C', 'A', 'V', 'I', 'T', 'R']"
76,chunking,"['D', 'E', 'T', 'B', 'H', 'N', 'E']","['D', 'E', 'T', 'B', 'H', 'N', 'E']"
77,chunking,"['4', 'K', 'W', 'T', 'F', 'W', 'W']","['4', 'K', 'W', 'T', 'F', 'W', 'W']"
78,chunking,"['M', 'P', '4', 'M', 'S', 'A', 'I']","['M', 'P', '4', 'M', 'S', 'A', 'I']"
79,chunking,"['I', 'R', 'L', 'T', 'L', 'D', 'R']","['I', 'R', 'L', 'T', 'L', 'D', 'R']"
80,normal,"['Y', 'W', 'I', 'N', 'B', 'S', 'L']","['Y', 'W', 'I', 'N', 'B', 'S', 'L']"
81,normal,"['B', 'L', 'R', 'S', 'K', 'M', 'G']","['B', 'L', 'R', 'S', 'K', 'M', 'G']"
82,normal,"['V', 'G', 'W', 'O', 'N', 'M', 'I']","['V', 'G', 'W', 'O', 'N', 'M', 'I']"
83,normal,"['O', 'F', 'P', 'D', 'J', 'K', 'H']","['O', 'F', 'P', 'D', 'J', 'K', 'H']"
84,normal,"['R', 'M', 'E', 'O', 'W', 'I', 'Q']","['R', 'M', 'E', 'O', 'W', 'I', 'Q']"
85,normal,"['I', 'Y', 'C', 'V', 'Q', 'X', 'L']","['I', 'Y', 'C', 'V', 'Q', 'X', 'L']"
86,normal,"['A', 'M', 'Y', 'C', 'V', 'T', 'U']","['A', 'M', 'Y', 'C', 'V', 'T', 'U']"
87,normal,"['G', 'L', 'V', 'O', 'U', 'W', 'J']","['G', 'L', 'V', 'O', 'U', 'W']"
88,normal,"['I', 'G', 'Y', 'J', 'N', 'L', 'O']","['I', 'G', 'Y', 'J', 'L', 'N', 'O']"
89,normal,"['H', 'A', 'G', 'Z', 'O', 'V', 'D']","['H', 'A', 'G', 'Z', 'O', 'V', 'D']"
90,normal,"['W', 'I', 'Z', 'L', 'H', 'T', 'N']","['W', 'I', 'Z', 'L', 'H', 'T', 'N']"
91,normal,"['F', 'D', 'O', 'I', 'Q', 'B', 'G']","['F', 'D', 'O', 'I', 'Q', 'B', 'N']"
92,normal,"['Q', 'M', 'N', 'X', 'P', 'F', 'K']","['Q', 'X', 'M', 'N', 'F', 'P', 'K']"
93,normal,"['P', 'F', 'J', 'Z', 'U', 'H', 'M']","['P', 'F', 'J', 'Z', 'U', 'H', 'M']"
94,normal,"['X', 'M', 'G', 'W', 'U', 'K', 'O']","['X', 'M', 'G', 'W', 'U', 'K', 'O']"
95,normal,"['N', 'L', 'Q', 'K', 'O', 'C', 'Y']","['N', 'L', 'Q', 'K', 'O', 'C', 'Y']"
96,normal,"['N', 'C', 'H', 'I', 'L', 'U', 'G']","['N', 'C', 'H', 'I', 'L', 'U', 'G']"
97,normal,"['V', 'A', 'S', 'Q', 'U', 'K', 'J']","['V', 'A', 'S', 'Q', 'U', 'K', 'J']"
98,normal,"['E', 'Q', 'O', 'I', 'N', 'A', 'M']","['E', 'Q', 'O', 'I', 'N', 'A', 'M']"
99,normal,"['W', 'B', 'P', 'C', 'M', 'G', 'N']","['W', 'B', 'P', 'Q', 'B', 'M', 'N']"
100,tapping,"['C', 'B', 'E', 'H', 'T', 'D', 'Y']","['C', 'B', 'E', 'H', 'T', 'D', 'Y']"
101,tapping,"['O', 'K', 'Y', 'U', 'E', 'P', 'R']","['O', 'K', 'Y', 'U', 'E', 'P', 'R']"
102,tapping,"['P', 'V', 'H', 'M', 'C', 'N', 'Q']","['P', 'V', 'H', 'M', 'C', 'N', 'Q']"
103,tapping,"['Q', 'O', 'L', 'S', 'W', 'J', 'P']","['Q', 'O', 'L', 'S', 'J', 'W', 'P']"
104,tapping,"['D', 'J', 'T', 'Z', 'M', 'W', 'U']","['D', 'J', 'T', 'Z', 'M', 'W', 'U']"
105,tapping,"['Q', 'K', 'D', 'Z', 'X', 'C', 'S']","['Q', 'K', 'D', 'Z', 'X', 'C', 'D']"
106,tapping,"['G', 'P', 'T', 'W', 'O', 'C', 'R']","['G', 'P', 'T', 'W', 'O', 'C', 'R']"
107,tapping,"['D', 'A', 'F', 'O', 'Y', 'C', 'W']","['D', 'A', 'F', 'O', 'Y', 'C', 'W']"
108,tapping,"['Z', 'Q', 'S', 'E', 'L', 'R', 'G']","['Z', 'Q', 'S', 'E', 'L', 'R', 'G']"
109,tapping,"['O', 'X', 'V', 'D', 'S', 'B', 'P']","['O', 'X', 'V', 'D', 'E', 'S', 'P']"
110,tapping,"['B', 'H', 'S', 'V', 'K', 'Q', 'U']","['B', 'H', 'S', 'V', 'K', 'G', 'U']"
111,tapping,"['B', 'C', 'Y', 'A', 'J', 'G', 'K']","['B', 'C', 'Y', 'A', 'J', 'G', 'K']"
112,tapping,"['P', 'B', 'D', 'G', 'U', 'F', 'W']","['B', 'P', 'D', 'G', 'U', 'F', 'W']"
113,tapping,"['R', 'H', 'A', 'D', 'B', 'G', 'Y']","['R', 'H', 'A', 'D', 'B', 'G', 'Y']"
114,tapping,"['S', 'H', 'X', 'Y', 'C', 'J', 'U']","['S', 'H', 'X', 'Y', 'C', 'J', 'U']"
115,tapping,"['B', 'E', 'Z', 'V', 'H', 'L', 'F']","['B', 'E', 'V', 'H', 'Z', 'X', 'L']"
116,tapping,"['F', 'R', 'J', 'G', 'P', 'L', 'Y']","['F', 'R', 'J', 'G', 'P', 'L', 'Y']"
117,tapping,"['M', 'D', 'B', 'U', 'T', 'C', 'P']","['M', 'D', 'B', 'U', 'T', 'C', 'P']"
118,tapping,"['Z', 'Y', 'H', 'D', 'P', 'S', 'B']","['Z', 'Y', 'H', 'D', 'B', 'S', 'P']"
119,tapping,"['P', 'Q', 'H', 'I', 'R', 'T', 'Z']","['P', 'Q', 'H', 'I', 'R', 'T', 'Z']"
120,suppression,"['Z', 'S', 'F', 'I', 'V', 'U', 'H']","['Z', 'L', 'S', 'F', 'U', 'V', 'H']"
121,suppression,"['W', 'N', 'Y', 'X', 'F', 'S', 'K']","['W', 'N', 'F', 'Y', 'X', 'E', 'K']"
122,suppression,"['I', 'V', 'C', 'A', 'L', 'G', 'R']","['I', 'V', 'C', 'A', 'L', 'G', 'H']"
123,suppression,"['Y', 'Q', 'X', 'U', 'L', 'K', 'B']","['Y', 'G', 'X', 'L', 'B', 'K']"
124,suppression,"['S', 'W', 'F', 'K', 'Z', 'V', 'G']","['S', 'F', 'W', 'K', 'L', 'G', 'Y']"
125,suppression,"['T', 'N', 'O', 'X', 'S', 'H', 'U']","['T', 'N', 'O', 'X', 'S', 'H', 'U']"
126,suppression,"['S', 'C', 'L', 'V', 'E', 'P', 'Y']","['S', 'C', 'E', 'L', 'V', 'Y', 'P']"
127,suppression,"['A', 'G', 'K', 'J', 'Z', 'Y', 'D']","['A', 'G', 'K', 'J', 'Z', 'Y', 'D']"
128,suppression,"['H', 'M', 'K', 'Y', 'V', 'R', 'F']","['H', 'L', 'K', 'M', 'Y', 'R', 'V']"
129,suppression,"['I', 'E', 'Y', 'L', 'C', 'G', 'S']","['I', 'E', 'C', 'L', 'Y', 'G', 'S']"
130,suppression,"['A', 'T', 'E', 'O', 'C', 'K', 'Q']","['A', 'T', 'E', 'O', 'C', 'K', 'Q']"
131,suppression,"['M', 'P', 'Z', 'G', 'B', 'Q', 'J']","['M', 'G', 'Z', 'P', 'G', 'B', 'E']"
132,suppression,"['K', 'H', 'Q', 'B', 'S', 'J', 'A']","['K', 'G', 'Q', 'B', 'J', 'S', 'L']"
133,suppression,"['D', 'N', 'F', 'W', 'V', 'Q', 'C']","['D', 'N', 'F', 'W', 'V', 'Q', 'C']"
